state,city,county,median_value,median_tax
Delaware,Magnolia,kent,290600,0.4580
Delaware,Milford,sussex,353300,0.3314
Delaware,Marydel,kent,290600,0.4580
Delaware,Millsboro,sussex,353300,0.3314
Delaware,Millville,sussex,353300,0.3314
Delaware,Milton,sussex,353300,0.3314
Delaware,Nassau,sussex,353300,0.3314
Delaware,Ocean View,sussex,353300,0.3314
Delaware,Rehoboth Beach,sussex,353300,0.3314
Delaware,Dewey Beach,sussex,353300,0.3314
Delaware,Seaford,sussex,353300,0.3314
Delaware,Selbyville,sussex,353300,0.3314
Delaware,Smyrna,kent,290600,0.4580
Delaware,Viola,kent,290600,0.4580
Delaware,Woodside,kent,290600,0.4580
Virginia,Dulles,loudoun,701000,0.8825
Virginia,Aldie,loudoun,701000,0.8825
Virginia,Amissville,culpeper,386400,0.5484
Virginia,Manassas,manassas park city,381200,1.1356
Virginia,Marshall,fauquier,543700,0.7697
Virginia,Middleburg,loudoun,701000,0.8825
Virginia,Catlett,fauquier,543700,0.7697
Virginia,Centreville,fairfax,699700,1.0107
Virginia,Clifton,fairfax,699700,1.0107
Virginia,Orlean,fauquier,543700,0.7697
Virginia,Paeonian Springs,loudoun,701000,0.8825
Virginia,Paris,clarke,538900,0.5116
